N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
12,0.001,0.78,0.0,5.257495324813697e-05,6.99422967920598e-05,,70,5
12,0.025,0.78,0.0,0.0223220756914194,0.0193988030986692,,75,0
12,0.05,0.78,0.0,0.0540296054399956,0.0262405742582651,,75,0
12,0.074,0.78,0.0,0.1041813861550582,0.0385717183376799,,75,0
12,0.099,0.78,0.0,0.1820794450372047,0.0493411461631381,,75,0
12,0.123,0.78,0.0,0.2838856280670423,0.0575885969601304,,75,0
12,0.148,0.78,0.0,0.4112175569338313,0.064462308619605,,75,0
12,0.172,0.78,0.0,0.5534231442917897,0.0598000461054045,,75,0
12,0.197,0.78,0.0,0.6977863384267257,0.0468703323737681,,75,0
12,0.221,0.78,0.0,0.7875014399962444,0.0413341287889374,,75,0
12,0.246,0.78,0.0,0.8680451468765189,0.021668164021129,,75,0
12,0.27,0.78,0.0,0.9115659570923776,0.0190843437681699,,75,0
12,0.294,0.78,0.0,0.9424880368405272,0.011336850505742,,75,0
12,0.319,0.78,0.0,0.9638531889129196,0.0086990286839124,,75,0
12,0.343,0.78,0.0,0.9769536670054784,0.0068190833209762,,75,0
12,0.368,0.78,0.0,0.9846418551022788,0.0051533283549492,,75,0
12,0.392,0.78,0.0,0.9898136885854796,0.0044689776949695,,75,0
12,0.418,0.78,0.0,0.9936871100517256,0.0030668577731219,,75,0
12,0.442,0.78,0.0,0.99615149851881,0.0030781133930643,,75,0
12,0.466,0.78,0.0,0.997807042550168,0.0017562991258708,,73,2
12,0.491,0.78,0.0,0.998081398087709,0.0022479856604319,,74,1
12,0.515,0.78,0.0,0.9990331871340266,0.0017976531479506,,75,0
12,0.54,0.78,0.0,0.9987462198164888,0.0018594994460854,,75,0
12,0.564,0.78,0.0,0.9984959069753284,0.0022704244073647,,73,2
12,0.589,0.78,0.0,0.9962296518848516,0.0039346275632705,,75,0
12,0.613,0.78,0.0,0.9933932986884996,0.0062020072727148,,75,0
12,0.638,0.78,0.0,0.9845519545601016,0.0103164326972947,,75,0
12,0.662,0.78,0.0,0.9709456638996476,0.0191378075320355,,75,0
12,0.687,0.78,0.0,0.941385909908935,0.0259828189310643,,75,0
12,0.711,0.78,0.0,0.910689197948788,0.036237732575335,,75,0
12,0.735,0.78,0.0,0.8666452088535468,0.0496049913903521,,67,8
12,0.76,0.78,0.0,0.8480041352000326,0.0975232203887324,,74,1
12,0.784,0.78,0.0,0.8077890426728713,0.1073153695216492,,75,0
13,0.001,0.78,0.5,4.454525782942277e-05,5.14649114524188e-05,,49,6
13,0.025,0.78,0.5,0.0144405632494012,0.0135530690773831,,52,3
13,0.05,0.78,0.5,0.0470330711698762,0.0197493837058893,,55,0
13,0.074,0.78,0.5,0.1064238878567946,0.0339783735425675,,55,0
13,0.099,0.78,0.5,0.1639125724036177,0.0327148795613195,,55,0
13,0.123,0.78,0.5,0.2860220601160556,0.052188263105737,,55,0
13,0.148,0.78,0.5,0.4363901057734153,0.0463750374064101,,55,0
13,0.172,0.78,0.5,0.6055015721304657,0.0467351755738031,,55,0
13,0.197,0.78,0.5,0.7346409598835717,0.0385773883753278,,55,0
13,0.221,0.78,0.5,0.8396193679263322,0.0246250763227931,,55,0
13,0.246,0.78,0.5,0.9041334625721312,0.0137064231181162,,55,0
13,0.27,0.78,0.5,0.9411409422388244,0.0085761811839295,,55,0
13,0.294,0.78,0.5,0.9632305512056704,0.0058187464400411,,55,0
13,0.319,0.78,0.5,0.9778114335569495,0.0025393165123683,,55,0
13,0.343,0.78,0.5,0.9856551487667088,0.0022212677260852,,55,0
13,0.368,0.78,0.5,0.990715594905166,0.0015406557600777,,55,0
