N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
16,0.001,0.7854,0.0,0.00023095,0.000275802,750,35,3
16,0.02546,0.7854,0.0,0.096360149,0.074275192,750,19,0
16,0.04991,0.7854,0.0,0.190193711,0.073486385,750,18,0
16,0.07437,0.7854,0.0,0.308867086,0.072493357,750,17,1
16,0.09883,0.7854,0.0,0.78618601,0.161789501,750,36,0
16,0.12328,0.7854,0.0,1.502957805,0.292037661,750,19,0
16,0.14774,0.7854,0.0,2.696347124,0.393855584,750,19,0
16,0.1722,0.7854,0.0,3.568308752,0.190840747,750,20,0
16,0.19665,0.7854,0.0,4.25462709,0.08927896,750,38,1
16,0.22111,0.7854,0.0,4.597998802,0.061267288,750,20,0
16,0.24557,0.7854,0.0,4.756548681,0.038112728,750,19,1
16,0.27002,0.7854,0.0,4.837611825,0.016978557,750,20,0
16,0.29448,0.7854,0.0,4.895557137,0.007850196,750,39,0
16,0.31894,0.7854,0.0,4.919296525,0.008422778,750,20,0
16,0.34339,0.7854,0.0,4.934799222,0.00354639,750,19,0
16,0.36785,0.7854,0.0,4.942757467,0.001929159,750,17,2
16,0.39231,0.7854,0.0,4.948798224,0.002403093,750,37,1
16,0.41755,0.7854,0.0,4.95269968,0.00126893,750,20,0
16,0.44201,0.7854,0.0,4.953944526,0.001619623,750,19,1
16,0.46646,0.7854,0.0,4.955229469,0.001397226,750,20,0
16,0.49092,0.7854,0.0,4.956109425,0.000616847,750,17,3
16,0.51538,0.7854,0.0,4.956333783,0.000738027,750,18,2
16,0.53983,0.7854,0.0,4.956410418,0.000515272,750,18,2
16,0.56429,0.7854,0.0,4.956601504,0.000598874,750,19,1
16,0.58874,0.7854,0.0,4.955983944,0.000801743,750,19,1
16,0.6132,0.7854,0.0,4.955737119,0.001206826,750,18,2
16,0.63766,0.7854,0.0,4.949742446,0.007440463,750,20,0
16,0.66211,0.7854,0.0,4.936498018,0.017391355,750,20,0
