N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
16,0.19665,0.7854,PBC,0.0,POLFED,4.24708038,0.09965221,750,117
16,0.68657,0.7854,PBC,0.0,POLFED,4.409693779,1.467953932,750,60
16,0.001,0.7854,PBC,0.0,POLFED,0.003356277,0.018104624,750,114
16,0.02546,0.7854,PBC,0.0,POLFED,0.096360149,0.074275192,750,57
16,0.04991,0.7854,PBC,0.0,POLFED,0.190193711,0.073486385,750,54
16,0.24557,0.7854,PBC,0.0,POLFED,4.749604683,0.047917785,750,60
16,0.63766,0.7854,PBC,0.0,POLFED,4.949742446,0.007440463,750,60
16,0.39231,0.7854,PBC,0.0,POLFED,4.94834616,0.003631016,750,114
16,0.31894,0.7854,PBC,0.0,POLFED,4.919296525,0.008422778,750,60
16,0.41755,0.7854,PBC,0.0,POLFED,4.95269968,0.00126893,750,60
16,0.58874,0.7854,PBC,0.0,POLFED,4.955616947,0.001780365,750,60
16,0.22111,0.7854,PBC,0.0,POLFED,4.597998802,0.061267288,750,60
16,0.44201,0.7854,PBC,0.0,POLFED,4.953727273,0.001840871,750,60
16,0.09883,0.7854,PBC,0.0,POLFED,0.78618601,0.161789501,750,108
16,0.6132,0.7854,PBC,0.0,POLFED,4.955274273,0.001799677,750,60
16,0.71103,0.7854,PBC,0.0,POLFED,4.346366004,1.451997963,750,60
16,0.49092,0.7854,PBC,0.0,POLFED,4.955801617,0.000928164,750,60
16,0.29448,0.7854,PBC,0.0,POLFED,4.895557137,0.007850196,750,117
16,0.46646,0.7854,PBC,0.0,POLFED,4.955229469,0.001397226,750,60
16,0.53983,0.7854,PBC,0.0,POLFED,4.956158191,0.001752995,750,60
16,0.7844,0.7854,PBC,0.0,POLFED,2.428520436,2.1430183,750,54
16,0.73548,0.7854,PBC,0.0,POLFED,3.664253053,1.896224685,750,57
16,0.75994,0.7854,PBC,0.0,POLFED,1.748453059,2.00070647,750,57
16,0.14774,0.7854,PBC,0.0,POLFED,2.696347124,0.393855584,750,57
16,0.27002,0.7854,PBC,0.0,POLFED,4.837611825,0.016978557,750,60
16,0.56429,0.7854,PBC,0.0,POLFED,4.956461265,0.000845218,750,60
16,0.51538,0.7854,PBC,0.0,POLFED,4.955967794,0.00134714,750,60
16,0.66211,0.7854,PBC,0.0,POLFED,4.936498018,0.017391355,750,60
16,0.12328,0.7854,PBC,0.0,POLFED,1.502957805,0.292037661,750,57
16,0.36785,0.7854,PBC,0.0,POLFED,4.943686127,0.003328425,750,57
16,0.34339,0.7854,PBC,0.0,POLFED,4.934799222,0.00354639,750,57
16,0.1722,0.7854,PBC,0.0,POLFED,3.568308752,0.190840747,750,60
16,0.07437,0.7854,PBC,0.0,POLFED,0.337137893,0.136199785,750,54
15,0.63766,0.7854,PBC,0.5,POLFED,4.493867673050428,0.0022156158846937226,643,26
15,0.24557,0.7854,PBC,0.5,POLFED,3.8982049131974423,1.1117742564972084,643,28
15,0.04991,0.7854,PBC,0.5,POLFED,0.1719781801093674,0.0916623294852773,643,22
15,0.02546,0.7854,PBC,0.5,POLFED,0.12162754567034624,0.06669449819801185,643,20
15,0.68657,0.7854,PBC,0.5,POLFED,4.151880940079243,1.017990215903635,643,26
15,0.19665,0.7854,PBC,0.5,POLFED,3.582960518384839,0.4152894576419977,643,30
15,0.41755,0.7854,PBC,0.5,POLFED,4.491112867028992,0.001311696473315643,643,26
15,0.1722,0.7854,PBC,0.5,POLFED,2.6140248568199493,0.9948689168950019,643,26
15,0.58874,0.7854,PBC,0.5,POLFED,4.496625917647541,0.0003179650003927295,643,26
15,0.44201,0.7854,PBC,0.5,POLFED,4.4935778848553785,0.0008493521922821077,643,30
15,0.22111,0.7854,PBC,0.5,POLFED,4.007824434252967,0.23720479450519602,643,30
15,0.7844,0.7854,PBC,0.5,POLFED,4.935701102848774e-05,0.00011988845714783744,643,22
15,0.39231,0.7854,PBC,0.5,POLFED,4.486262682852174,0.0018754162304562194,643,28
15,0.31894,0.7854,PBC,0.5,POLFED,4.005207329026873,1.2109128481530014,643,30
15,0.29448,0.7854,PBC,0.5,POLFED,4.223137804505438,0.7380658452497835,643,30
15,0.53983,0.7854,PBC,0.5,POLFED,3.9848697441646954,1.300837194167646,643,28
15,0.71103,0.7854,PBC,0.5,POLFED,4.2966626143721225,0.273293454719484,643,26
15,0.46646,0.7854,PBC,0.5,POLFED,4.494592217721797,0.0006547925488830545,643,30
15,0.34339,0.7854,PBC,0.5,POLFED,4.466885172536751,0.005548275949530625,643,28
15,0.6132,0.7854,PBC,0.5,POLFED,3.982182355261988,1.3081589743936821,643,30
15,0.36785,0.7854,PBC,0.5,POLFED,4.479974158997472,0.003446405682999058,643,28
15,0.12328,0.7854,PBC,0.5,POLFED,1.454581723826932,0.4018788993550384,643,28
15,0.51538,0.7854,PBC,0.5,POLFED,4.23224097867862,0.9527796852053171,643,28
15,0.07437,0.7854,PBC,0.5,POLFED,0.3532383468709155,0.1609133613974805,643,24
15,0.66211,0.7854,PBC,0.5,POLFED,4.4821837745659145,0.014459112543339935,643,28
15,0.75994,0.7854,PBC,0.5,POLFED,1.5563439392075054,1.6396257581998968,643,22
15,0.09883,0.7854,PBC,0.5,POLFED,0.7557768072761623,0.1420547039633291,643,26
15,0.56429,0.7854,PBC,0.5,POLFED,4.4968499506268085,0.0005699901272222924,643,28
15,0.27002,0.7854,PBC,0.5,POLFED,4.094460524329648,1.0196616965916385,643,30
15,0.14774,0.7854,PBC,0.5,POLFED,2.1057629084153686,0.201517616590702,643,28
15,0.49092,0.7854,PBC,0.5,POLFED,4.495875710020698,0.0006605660969563657,643,30
15,0.001,0.7854,PBC,0.5,POLFED,0.0003164978005923228,0.0006387150378076136,643,16
15,0.73548,0.7854,PBC,0.5,POLFED,3.0045640211719586,1.7252854826159774,643,24
14,0.0504,0.49476,PBC,0.0,POLFED,0.2119209638104265,0.0,343,1
14,0.37357,0.65635,PBC,0.0,POLFED,4.23669079508619,0.0,343,1
14,0.17159,0.65635,PBC,0.0,POLFED,2.644425997125824,0.0,343,1
14,0.37357,0.57556,PBC,0.0,POLFED,4.2346509153682685,0.0,343,1
14,0.73715,0.13119,PBC,0.0,POLFED,1.8065606395969085,1.8065606395969085,343,2
14,0.45437,0.37357,PBC,0.0,POLFED,4.250313963106428,0.0,343,1
14,0.17159,0.57556,PBC,0.0,POLFED,2.4272455879422767,0.0,343,1
14,0.77754,0.13119,PBC,0.0,POLFED,1.4977584736049296,1.497758472988553,343,2
14,0.57556,0.25238,PBC,0.0,POLFED,4.254148961402089,0.0,343,1
14,0.0504,0.0504,PBC,0.0,POLFED,0.1090255623713006,0.0,343,1
14,0.29278,0.13119,PBC,0.0,POLFED,3.00103203116282,0.0,343,1
