N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
12,0.090794124,0.615955933,PBC,0.0,POLFED,0.582971493,0.072335718,92,4
12,0.333176498,0.494764746,PBC,0.0,POLFED,3.458974235,0.02203831,92,4
12,0.575558871,0.575558871,PBC,0.0,POLFED,3.567121876,0.003176868,92,4
12,0.171588249,0.494764746,PBC,0.0,POLFED,1.900050664,0.113743205,92,4
12,0.696750057,0.696750057,PBC,0.0,POLFED,3.409834935,0.060284358,92,4
12,0.696750057,0.131191187,PBC,0.0,POLFED,3.126806554,0.037254667,92,4
12,0.252382373,0.656352995,PBC,0.0,POLFED,3.154082463,0.037942907,92,4
12,0.777544182,0.292779435,PBC,0.0,POLFED,2.654105411,0.462368935,92,4
12,0.292779435,0.37357356,PBC,0.0,POLFED,3.138753945,0.097243385,92,4
12,0.01,0.050397062,PBC,0.0,POLFED,0.036943213,0.06060078,92,4
12,0.656352995,0.535161809,PBC,0.0,POLFED,3.511347799,0.028511619,92,4
12,0.292779435,0.050397062,PBC,0.0,POLFED,1.526894702,0.20699196,92,4
12,0.454367684,0.01,PBC,0.0,POLFED,2.040338894,0.199045642,92,4
12,0.615955933,0.333176498,PBC,0.0,POLFED,3.533384915,0.009680616,92,4
12,0.696750057,0.615955933,PBC,0.0,POLFED,3.455849304,0.042016049,92,4
12,0.413970622,0.656352995,PBC,0.0,POLFED,3.553287175,0.002521632,92,4
12,0.535161809,0.333176498,PBC,0.0,POLFED,3.552455868,0.005689444,92,4
12,0.494764746,0.252382373,PBC,0.0,POLFED,3.533010786,0.009151546,92,4
12,0.050397062,0.575558871,PBC,0.0,POLFED,0.138251802,0.051612499,92,4
12,0.413970622,0.050397062,PBC,0.0,POLFED,2.355709406,0.062526676,92,4
12,0.656352995,0.211985311,PBC,0.0,POLFED,3.425464888,0.034933964,92,4
12,0.090794124,0.131191187,PBC,0.0,POLFED,0.468134943,0.152370553,92,4
12,0.090794124,0.696750057,PBC,0.0,POLFED,0.475830802,0.107769288,92,4
12,0.413970622,0.01,PBC,0.0,POLFED,1.907759655,0.175146652,92,4
12,0.37357356,0.252382373,PBC,0.0,POLFED,3.360084323,0.029697819,92,4
12,0.050397062,0.656352995,PBC,0.0,POLFED,0.255617341,0.044070152,92,4
12,0.413970622,0.575558871,PBC,0.0,POLFED,3.549792898,0.004466603,92,4
12,0.535161809,0.535161809,PBC,0.0,POLFED,3.571937011,0.001864892,92,4
12,0.01,0.615955933,PBC,0.0,POLFED,0.016391004,0.017844672,92,4
12,0.615955933,0.535161809,PBC,0.0,POLFED,3.559932277,0.003170325,92,4
12,0.535161809,0.211985311,PBC,0.0,POLFED,3.498265088,0.013137068,92,4
12,0.777544182,0.494764746,PBC,0.0,POLFED,2.719139424,0.202218606,92,4
12,0.656352995,0.333176498,PBC,0.0,POLFED,3.505067631,0.032884407,92,4
12,0.333176498,0.292779435,PBC,0.0,POLFED,3.293289571,0.081991011,92,4
12,0.01,0.131191187,PBC,0.0,POLFED,0.043225752,0.036266934,92,4
12,0.01,0.696750057,PBC,0.0,POLFED,0.025967093,0.014297362,92,4
12,0.615955933,0.211985311,PBC,0.0,POLFED,3.501159593,0.015125327,92,4
12,0.171588249,0.292779435,PBC,0.0,POLFED,1.321666749,0.20454938,92,4
12,0.615955933,0.050397062,PBC,0.0,POLFED,2.8238314,0.075493999,92,4
12,0.73714712,0.01,PBC,0.0,POLFED,2.379060249,0.40359085,92,4
12,0.535161809,0.050397062,PBC,0.0,POLFED,2.789463512,0.030109201,92,4
12,0.292779435,0.171588249,PBC,0.0,POLFED,2.471804251,0.186854532,92,4
12,0.575558871,0.656352995,PBC,0.0,POLFED,3.564914689,0.011924231,92,4
12,0.252382373,0.575558871,PBC,0.0,POLFED,3.092171516,0.066480056,92,4
12,0.494764746,0.211985311,PBC,0.0,POLFED,3.513832764,0.008522098,92,4
12,0.656352995,0.252382373,PBC,0.0,POLFED,3.461010874,0.027007959,92,4
12,0.777544182,0.37357356,PBC,0.0,POLFED,2.710754441,0.205865557,92,4
12,0.292779435,0.292779435,PBC,0.0,POLFED,3.047646382,0.080871012,92,4
12,0.575558871,0.413970622,PBC,0.0,POLFED,3.565547264,0.004851108,92,4
12,0.252382373,0.454367684,PBC,0.0,POLFED,2.976776142,0.104421608,92,4
12,0.050397062,0.050397062,PBC,0.0,POLFED,0.078341321,0.026983061,92,4
12,0.333176498,0.171588249,PBC,0.0,POLFED,2.948449058,0.125363072,92,4
12,0.575558871,0.73714712,PBC,0.0,POLFED,3.572284991,0.004985291,92,4
12,0.575558871,0.090794124,PBC,0.0,POLFED,3.17313462,0.024833146,92,4
12,0.171588249,0.171588249,PBC,0.0,POLFED,1.096650768,0.484567735,92,4
12,0.575558871,0.777544182,PBC,0.0,POLFED,3.563594163,0.010163048,92,4
12,0.413970622,0.454367684,PBC,0.0,POLFED,3.532683569,0.007451742,92,4
12,0.050397062,0.777544182,PBC,0.0,POLFED,0.13556941,0.050531244,92,4
12,0.333176498,0.01,PBC,0.0,POLFED,1.467937987,0.196216746,92,4
12,0.01,0.01,PBC,0.0,POLFED,0.008847124,0.007386921,92,4
12,0.050397062,0.73714712,PBC,0.0,POLFED,0.233169521,0.154536045,92,4
12,0.050397062,0.090794124,PBC,0.0,POLFED,0.168270683,0.098506816,92,4
12,0.37357356,0.333176498,PBC,0.0,POLFED,3.447520405,0.021149399,92,4
12,0.494764746,0.535161809,PBC,0.0,POLFED,3.562248912,0.008812789,92,4
12,0.050397062,0.413970622,PBC,0.0,POLFED,0.241803976,0.098887553,92,4
12,0.615955933,0.252382373,PBC,0.0,POLFED,3.524439783,0.00957415,92,4
12,0.211985311,0.01,PBC,0.0,POLFED,0.897802537,0.46289336,92,4
12,0.73714712,0.615955933,PBC,0.0,POLFED,2.435240249,1.409534066,92,4
12,0.050397062,0.454367684,PBC,0.0,POLFED,0.216111408,0.075632835,92,4
12,0.413970622,0.777544182,PBC,0.0,POLFED,3.551030144,0.01171691,92,4
12,0.494764746,0.333176498,PBC,0.0,POLFED,3.546555241,0.009760216,92,4
12,0.535161809,0.252382373,PBC,0.0,POLFED,3.530122966,0.021622819,92,4
12,0.413970622,0.73714712,PBC,0.0,POLFED,3.537156631,0.027771716,92,4
12,0.413970622,0.090794124,PBC,0.0,POLFED,2.910496563,0.135851388,92,4
12,0.413970622,0.413970622,PBC,0.0,POLFED,3.533716473,0.002881733,92,4
12,0.37357356,0.535161809,PBC,0.0,POLFED,3.517506936,0.006768371,92,4
12,0.131191187,0.01,PBC,0.0,POLFED,0.420659848,0.247954615,92,4
12,0.131191187,0.131191187,PBC,0.0,POLFED,0.58073658,0.164404059,92,4
12,0.131191187,0.696750057,PBC,0.0,POLFED,1.273668231,0.251864719,92,4
12,0.454367684,0.615955933,PBC,0.0,POLFED,3.566670988,0.002560816,92,4
12,0.575558871,0.01,PBC,0.0,POLFED,2.393262491,0.041847107,92,4
12,0.211985311,0.131191187,PBC,0.0,POLFED,1.364480243,0.210231867,92,4
12,0.211985311,0.696750057,PBC,0.0,POLFED,2.738988049,0.159067355,92,4
12,0.252382373,0.413970622,PBC,0.0,POLFED,2.997507713,0.154666523,92,4
12,0.777544182,0.171588249,PBC,0.0,POLFED,2.731587544,0.270843186,92,4
12,0.131191187,0.615955933,PBC,0.0,POLFED,1.145366598,0.091709061,92,4
12,0.37357356,0.211985311,PBC,0.0,POLFED,3.274722895,0.041520747,92,4
12,0.454367684,0.696750057,PBC,0.0,POLFED,3.565414943,0.004592049,92,4
12,0.454367684,0.131191187,PBC,0.0,POLFED,3.252043139,0.052555956,92,4
12,0.211985311,0.615955933,PBC,0.0,POLFED,2.639444148,0.091216868,92,4
12,0.292779435,0.494764746,PBC,0.0,POLFED,3.316321129,0.026654815,92,4
12,0.73714712,0.696750057,PBC,0.0,POLFED,3.251926162,0.074895707,92,4
12,0.73714712,0.131191187,PBC,0.0,POLFED,2.901479194,0.148761375,92,4
12,0.252382373,0.777544182,PBC,0.0,POLFED,3.106165506,0.033402403,92,4
12,0.171588249,0.37357356,PBC,0.0,POLFED,1.561034452,0.196058722,92,4
12,0.252382373,0.090794124,PBC,0.0,POLFED,1.504700818,0.172725053,92,4
12,0.252382373,0.73714712,PBC,0.0,POLFED,3.136311382,0.039287713,92,4
12,0.333176498,0.37357356,PBC,0.0,POLFED,3.384897893,0.023961323,92,4
12,0.575558871,0.454367684,PBC,0.0,POLFED,3.564243041,0.004305795,92,4
12,0.333176498,0.535161809,PBC,0.0,POLFED,3.431611877,0.052190087,92,4
12,0.171588249,0.535161809,PBC,0.0,POLFED,1.703372005,0.074402402,92,4
12,0.696750057,0.73714712,PBC,0.0,POLFED,3.362805803,0.043385728,92,4
12,0.696750057,0.090794124,PBC,0.0,POLFED,2.895654404,0.159089267,92,4
12,0.73714712,0.656352995,PBC,0.0,POLFED,1.60098357,1.601355441,92,4
12,0.696750057,0.777544182,PBC,0.0,POLFED,3.373618634,0.089898825,92,4
12,0.777544182,0.333176498,PBC,0.0,POLFED,2.853125831,0.313980235,92,4
12,0.656352995,0.494764746,PBC,0.0,POLFED,3.530431401,0.022158953,92,4
12,0.01,0.454367684,PBC,0.0,POLFED,0.058361304,0.04337348,92,4
12,0.454367684,0.656352995,PBC,0.0,POLFED,3.547374562,0.016174767,92,4
12,0.696750057,0.413970622,PBC,0.0,POLFED,3.360106474,0.092674316,92,4
12,0.494764746,0.171588249,PBC,0.0,POLFED,3.442982274,0.020494469,92,4
12,0.131191187,0.656352995,PBC,0.0,POLFED,1.097635239,0.153035018,92,4
12,0.090794124,0.090794124,PBC,0.0,POLFED,0.350824963,0.199267402,92,4
12,0.090794124,0.73714712,PBC,0.0,POLFED,0.641812201,0.147504441,92,4
12,0.090794124,0.777544182,PBC,0.0,POLFED,0.496012658,0.104387524,92,4
12,0.37357356,0.37357356,PBC,0.0,POLFED,3.43746243,0.03246618,92,4
12,0.211985311,0.656352995,PBC,0.0,POLFED,2.74462517,0.064723143,92,4
12,0.333176498,0.211985311,PBC,0.0,POLFED,3.080240056,0.132214563,92,4
12,0.615955933,0.292779435,PBC,0.0,POLFED,3.522887429,0.020523971,92,4
12,0.171588249,0.211985311,PBC,0.0,POLFED,1.333866615,0.18743597,92,4
12,0.535161809,0.292779435,PBC,0.0,POLFED,3.551125461,0.005768571,92,4
12,0.090794124,0.413970622,PBC,0.0,POLFED,0.494947062,0.019018148,92,4
12,0.535161809,0.494764746,PBC,0.0,POLFED,3.566044577,0.006917148,92,4
12,0.131191187,0.575558871,PBC,0.0,POLFED,1.008087416,0.090785812,92,4
12,0.777544182,0.211985311,PBC,0.0,POLFED,2.725184572,0.278942012,92,4
12,0.37357356,0.171588249,PBC,0.0,POLFED,3.244407018,0.068857059,92,4
12,0.211985311,0.575558871,PBC,0.0,POLFED,2.637086328,0.091844054,92,4
12,0.615955933,0.494764746,PBC,0.0,POLFED,3.550839593,0.003854903,92,4
12,0.494764746,0.37357356,PBC,0.0,POLFED,3.564046698,0.000890787,92,4
12,0.090794124,0.454367684,PBC,0.0,POLFED,0.477399302,0.08882695,92,4
12,0.696750057,0.050397062,PBC,0.0,POLFED,2.748139115,0.074542262,92,4
12,0.73714712,0.575558871,PBC,0.0,POLFED,3.198496782,0.080797613,92,4
12,0.01,0.413970622,PBC,0.0,POLFED,0.012121828,0.013214748,92,4
12,0.535161809,0.01,PBC,0.0,POLFED,2.310273292,0.080904187,92,4
12,0.171588249,0.01,PBC,0.0,POLFED,0.419814059,0.0572797,92,4
12,0.696750057,0.454367684,PBC,0.0,POLFED,3.448230402,0.0449841,92,4
12,0.615955933,0.01,PBC,0.0,POLFED,2.46043902,0.035916604,92,4
12,0.777544182,0.535161809,PBC,0.0,POLFED,2.733392034,0.433897689,92,4
12,0.01,0.777544182,PBC,0.0,POLFED,0.00980998,0.006866788,92,4
12,0.656352995,0.292779435,PBC,0.0,POLFED,3.492125885,0.018710795,92,4
12,0.01,0.090794124,PBC,0.0,POLFED,0.01313241,0.010613346,92,4
12,0.01,0.73714712,PBC,0.0,POLFED,0.019590925,0.018590858,92,4
12,0.333176498,0.333176498,PBC,0.0,POLFED,3.350558437,0.032307331,92,4
12,0.171588249,0.333176498,PBC,0.0,POLFED,1.451857025,0.235404259,92,4
12,0.292779435,0.252382373,PBC,0.0,POLFED,2.8719476,0.140609624,92,4
12,0.454367684,0.575558871,PBC,0.0,POLFED,3.562257775,0.004478751,92,4
12,0.696750057,0.575558871,PBC,0.0,POLFED,3.436399621,0.020662884,92,4
12,0.575558871,0.696750057,PBC,0.0,POLFED,3.555718369,0.014781355,92,4
12,0.575558871,0.131191187,PBC,0.0,POLFED,3.381817102,0.029131007,92,4
12,0.656352995,0.171588249,PBC,0.0,POLFED,3.381557862,0.029577428,92,4
12,0.050397062,0.615955933,PBC,0.0,POLFED,0.181804277,0.047390917,92,4
12,0.73714712,0.454367684,PBC,0.0,POLFED,3.081586234,0.017580917,92,4
12,0.454367684,0.454367684,PBC,0.0,POLFED,3.543587803,0.017660524,92,4
12,0.292779435,0.333176498,PBC,0.0,POLFED,3.098216344,0.071303983,92,4
12,0.171588249,0.252382373,PBC,0.0,POLFED,1.02397007,0.125591884,92,4
12,0.333176498,0.252382373,PBC,0.0,POLFED,3.110466676,0.069112686,92,4
12,0.01,0.656352995,PBC,0.0,POLFED,0.064284916,0.066335514,92,4
12,0.211985311,0.050397062,PBC,0.0,POLFED,0.970838816,0.189006267,92,4
12,0.131191187,0.050397062,PBC,0.0,POLFED,0.542633371,0.368812456,92,4
12,0.494764746,0.494764746,PBC,0.0,POLFED,3.563505958,0.002871501,92,4
12,0.615955933,0.37357356,PBC,0.0,POLFED,3.547953207,0.005860951,92,4
12,0.090794124,0.575558871,PBC,0.0,POLFED,0.539836812,0.138957189,92,4
12,0.211985311,0.454367684,PBC,0.0,POLFED,2.411728538,0.063907293,92,4
12,0.535161809,0.37357356,PBC,0.0,POLFED,3.564218256,0.002294205,92,4
12,0.131191187,0.454367684,PBC,0.0,POLFED,0.900446422,0.093501481,92,4
12,0.575558871,0.615955933,PBC,0.0,POLFED,3.57079106,0.002083716,92,4
12,0.050397062,0.696750057,PBC,0.0,POLFED,0.177380542,0.019023519,92,4
12,0.050397062,0.131191187,PBC,0.0,POLFED,0.135649583,0.097556013,92,4
12,0.37357356,0.292779435,PBC,0.0,POLFED,3.411954653,0.019185331,92,4
12,0.211985311,0.777544182,PBC,0.0,POLFED,2.670211577,0.127182246,92,4
12,0.090794124,0.656352995,PBC,0.0,POLFED,0.478975967,0.066039889,92,4
12,0.535161809,0.171588249,PBC,0.0,POLFED,3.490275365,0.020027326,92,4
12,0.131191187,0.090794124,PBC,0.0,POLFED,0.319289508,0.160240044,92,4
12,0.131191187,0.73714712,PBC,0.0,POLFED,1.25076646,0.314736992,92,4
12,0.37357356,0.494764746,PBC,0.0,POLFED,3.504541229,0.012093363,92,4
12,0.131191187,0.777544182,PBC,0.0,POLFED,1.087774606,0.174978051,92,4
12,0.211985311,0.090794124,PBC,0.0,POLFED,1.176084247,0.107118187,92,4
12,0.211985311,0.73714712,PBC,0.0,POLFED,2.615345317,0.091746272,92,4
12,0.615955933,0.171588249,PBC,0.0,POLFED,3.43664532,0.034952145,92,4
