N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
15,0.01,0.01,0.5,0.0053723359543278,0.0,643,1,2
15,0.01,0.05,0.5,0.0104191057941998,0.0,643,1,2
15,0.01,0.091,0.5,0.0356445597050022,0.0,643,1,2
15,0.01,0.131,0.5,0.0095093577363335,0.0,643,1,2
15,0.01,0.172,0.5,0.0036223183888971,0.0,643,1,2
15,0.01,0.212,0.5,0.0079135099284945,0.0,643,1,2
15,0.01,0.252,0.5,0.0192421402506662,0.0,643,1,2
15,0.01,0.293,0.5,0.031850758997375,0.0,643,1,2
15,0.01,0.333,0.5,0.0070535354428949,0.0,643,1,2
15,0.01,0.374,0.5,0.0176961684666079,0.0,643,1,2
15,0.01,0.414,0.5,0.0042542833482669,0.0,643,1,2
15,0.01,0.454,0.5,0.0944319655082806,0.0,643,1,2
15,0.01,0.495,0.5,0.0081119265994634,0.0,643,1,2
15,0.01,0.535,0.5,0.0431273405258055,0.0342823235224614,643,2,2
15,0.01,0.576,0.5,0.0142360160388987,0.0,643,1,2
15,0.01,0.616,0.5,0.0316096680084272,0.0,643,1,2
15,0.01,0.656,0.5,0.0077270246710163,0.0,643,1,2
15,0.01,0.697,0.5,0.0392881179916776,0.0,643,1,2
15,0.01,0.737,0.5,0.0097790656690081,0.0,643,1,2
15,0.01,0.778,0.5,0.004354318023117,0.0,643,1,2
15,0.05,0.01,0.5,0.1206820543751273,0.0,643,1,2
15,0.05,0.05,0.5,0.1823915775733726,0.0,643,1,2
15,0.05,0.091,0.5,0.0420768450034877,0.0,643,1,2
15,0.05,0.131,0.5,0.0632244472995479,0.0,643,1,2
15,0.05,0.172,0.5,0.1056278687406884,0.0,643,1,2
15,0.05,0.212,0.5,0.0872311156043756,0.0,643,1,2
15,0.05,0.252,0.5,0.1581865142612048,0.0,643,1,2
15,0.05,0.293,0.5,0.1996523035785863,0.0107204494044162,643,2,2
15,0.05,0.333,0.5,0.1191680187150828,0.0,643,1,2
15,0.05,0.374,0.5,0.1151492059316261,0.0,643,1,2
15,0.05,0.414,0.5,0.1700981384992837,0.0,643,1,2
15,0.05,0.454,0.5,0.2312552537745331,0.0,643,1,2
15,0.05,0.495,0.5,0.0108663767437859,0.0,643,1,2
15,0.05,0.535,0.5,0.1656852331020402,0.0,643,1,2
15,0.05,0.576,0.5,0.2627928015687326,0.0,643,1,2
15,0.05,0.616,0.5,0.1403173678739509,0.0,643,1,2
15,0.05,0.656,0.5,0.1801953130497369,0.0,643,1,2
15,0.05,0.697,0.5,0.1956227396675104,0.0,643,1,2
15,0.05,0.737,0.5,0.1213490305172283,0.0,643,1,2
15,0.05,0.778,0.5,0.1690953508466765,0.0,643,1,2
15,0.091,0.01,0.5,0.2023777416364245,0.0,643,1,2
15,0.091,0.05,0.5,0.2342676762080004,0.0,643,1,2
15,0.091,0.091,0.5,0.3645975685871936,0.0544229564135253,643,2,2
15,0.091,0.131,0.5,0.2493165029324525,0.0,643,1,2
15,0.091,0.172,0.5,0.5191593048423296,0.0,643,1,2
15,0.091,0.212,0.5,0.3457418905482232,0.0,643,1,2
15,0.091,0.252,0.5,0.5135070562061049,0.0,643,1,2
15,0.091,0.293,0.5,0.621635693154079,0.0,643,1,2
15,0.091,0.333,0.5,0.5835164074482158,0.0,643,1,2
15,0.091,0.374,0.5,0.7996814289350169,0.0,643,1,2
15,0.091,0.414,0.5,0.3574408385210452,0.0,643,1,2
15,0.091,0.454,0.5,0.4764506380469545,0.0,643,1,2
15,0.091,0.495,0.5,0.4887382260715388,0.0,643,1,2
15,0.091,0.535,0.5,0.4638356662008325,0.0,643,1,2
15,0.091,0.576,0.5,0.2337829812783612,0.2337829468390367,643,2,2
15,0.091,0.616,0.5,0.5356156108054567,0.0,643,1,2
15,0.091,0.656,0.5,0.4524137352978498,0.0,643,1,2
15,0.091,0.697,0.5,0.6496649621875243,0.007875608069572,643,2,2
15,0.091,0.737,0.5,0.5132303429037356,0.0,643,1,2
15,0.091,0.778,0.5,0.3917498669743457,0.0,643,1,2
15,0.131,0.01,0.5,0.3891470057488486,0.0,643,1,2
15,0.131,0.05,0.5,0.579275976472794,0.0,643,1,2
15,0.131,0.091,0.5,0.681907837200327,0.0,643,1,2
15,0.131,0.131,0.5,0.6848743592454536,0.0,643,1,2
15,0.131,0.172,0.5,1.0215011906798328,0.0,643,1,2
15,0.131,0.212,0.5,0.9437060721815173,0.0,643,1,2
15,0.131,0.252,0.5,0.884053753581515,0.0,643,1,2
15,0.131,0.293,0.5,0.8646357109943581,0.0,643,1,2
15,0.131,0.333,0.5,1.0392167350886354,0.0,643,1,2
15,0.131,0.374,0.5,1.1370481731014548,0.0,643,1,2
15,0.131,0.414,0.5,1.3366975838268125,0.0,643,1,2
15,0.131,0.454,0.5,1.1429917385479773,0.0,643,1,2
15,0.131,0.495,0.5,1.062639198035921,0.0637734879187216,643,2,2
15,0.131,0.535,0.5,1.4289119531201793,0.0,643,1,2
15,0.131,0.576,0.5,1.6534313652420285,0.0,643,1,2
15,0.131,0.616,0.5,1.5080482204065628,0.0374769431326871,643,2,2
15,0.131,0.656,0.5,1.5332582001440824,0.0,643,1,2
15,0.131,0.697,0.5,1.3048782061585786,0.0,643,1,2
15,0.131,0.737,0.5,1.5523309841170243,0.0,643,1,2
15,0.131,0.778,0.5,1.50193227127514,0.0,643,1,2
15,0.172,0.01,0.5,0.3185051352533138,0.0,643,1,2
15,0.172,0.05,0.5,0.5982943913137723,0.0,643,1,2
15,0.172,0.091,0.5,0.5607940677612142,0.0,643,1,2
15,0.172,0.131,0.5,0.7650862312844465,0.0,643,1,2
15,0.172,0.172,0.5,1.1045203231084468,0.0,643,1,2
15,0.172,0.212,0.5,1.1031669012860503,0.0,643,1,2
15,0.172,0.252,0.5,1.4665810245523028,0.0,643,1,2
15,0.172,0.293,0.5,1.9242741243729973,0.1324655318797233,643,2,2
15,0.172,0.333,0.5,1.9978099210465916,0.0,643,1,2
15,0.172,0.374,0.5,2.134548436834661,0.0,643,1,2
15,0.172,0.414,0.5,2.2558329543998816,0.0,643,1,2
15,0.172,0.454,0.5,2.530813632656015,0.0,643,1,2
15,0.172,0.495,0.5,2.6034431556688777,0.0,643,1,2
15,0.172,0.535,0.5,2.813824441923929,0.0,643,1,2
15,0.172,0.576,0.5,2.9981450934897937,0.0,643,1,2
15,0.172,0.616,0.5,2.982803391655899,0.0,643,1,2
15,0.172,0.656,0.5,2.832268560910676,0.0,643,1,2
15,0.172,0.697,0.5,3.099063365366928,0.0,643,1,2
15,0.172,0.737,0.5,3.2344678840009427,0.0,643,1,2
15,0.172,0.778,0.5,2.9495774549851195,0.0,643,1,2
15,0.212,0.01,0.5,0.5862388343327253,0.0,643,1,2
15,0.212,0.05,0.5,1.080022753236008,0.0,643,1,2
15,0.212,0.091,0.5,1.2463663902237152,0.1785856210284527,643,2,2
15,0.212,0.131,0.5,0.0441559117168429,0.0,643,1,2
15,0.212,0.172,0.5,2.263311585697352,0.0,643,1,2
15,0.212,0.212,0.5,2.5921572293627357,0.0,643,1,2
15,0.212,0.252,0.5,2.3876074831399183,0.0,643,1,2
15,0.212,0.293,0.5,3.114350917996918,0.0,643,1,2
15,0.212,0.333,0.5,2.921284930103839,0.0,643,1,2
15,0.212,0.374,0.5,3.096696587772401,0.0,643,1,2
15,0.212,0.414,0.5,3.511931556535028,0.0,643,1,2
15,0.212,0.454,0.5,3.757066522960667,0.0,643,1,2
15,0.212,0.495,0.5,3.734482771992091,0.0,643,1,2
15,0.212,0.535,0.5,3.835301303627576,0.0,643,1,2
15,0.212,0.576,0.5,3.9018959929287336,0.0121181453344327,643,2,2
15,0.212,0.616,0.5,3.955603252513043,0.0,643,1,2
15,0.212,0.656,0.5,4.011919663568662,0.0046006251401968,643,2,2
15,0.212,0.697,0.5,3.8439863722891534,0.0699393867040931,643,2,2
15,0.212,0.737,0.5,3.9750391907358087,0.0,643,1,2
15,0.212,0.778,0.5,3.804083936325767,0.0,643,1,2
15,0.252,0.01,0.5,0.9128987508835916,0.0,643,1,2
15,0.252,0.05,0.5,1.2181568988207347,0.0,643,1,2
15,0.252,0.091,0.5,1.6508942310845365,0.0,643,1,2
15,0.252,0.131,0.5,1.911119764453744,0.0,643,1,2
15,0.252,0.172,0.5,2.9855451166273723,0.0,643,1,2
15,0.252,0.212,0.5,3.4911824024914675,0.0,643,1,2
15,0.252,0.252,0.5,3.3010713623440595,0.0,643,1,2
15,0.252,0.293,0.5,3.871523020735505,0.0,643,1,2
15,0.252,0.333,0.5,3.929934241215514,0.0,643,1,2
15,0.252,0.374,0.5,4.136351702043058,0.0,643,1,2
15,0.252,0.414,0.5,4.244635117275899,0.0,643,1,2
15,0.252,0.454,0.5,4.112564284315695,0.0,643,1,2
15,0.252,0.495,0.5,4.220923430675622,0.0165655676831839,643,2,2
15,0.252,0.535,0.5,4.235994149429298,0.0,643,1,2
15,0.252,0.576,0.5,4.258587792232159,0.0,643,1,2
15,0.252,0.616,0.5,4.245559427839114,0.0,643,1,2
15,0.252,0.656,0.5,4.291730511145556,0.0,643,1,2
15,0.252,0.697,0.5,4.283803065716921,0.0099784582865947,643,2,2
15,0.252,0.737,0.5,4.308517979044856,0.0,643,1,2
15,0.252,0.778,0.5,4.3139407583223495,0.0,643,1,2
15,0.293,0.01,0.5,1.300683902739796,0.0,643,1,2
15,0.293,0.05,0.5,0.9611331442717912,0.0,643,1,2
15,0.293,0.091,0.5,2.425826341820435,0.0,643,1,2
15,0.293,0.131,0.5,3.508169010613619,0.0,643,1,2
15,0.293,0.172,0.5,0.7289926208800719,0.0,643,1,2
15,0.293,0.212,0.5,3.7944430251399472,0.0,643,1,2
15,0.293,0.252,0.5,4.241658834641118,0.0,643,1,2
15,0.293,0.293,0.5,4.206618052216596,0.0156621732491872,643,2,2
15,0.293,0.333,0.5,4.1994978809232855,0.0,643,1,2
15,0.293,0.374,0.5,4.305466151518597,0.0,643,1,2
15,0.293,0.414,0.5,4.3296181918733,0.0,643,1,2
15,0.293,0.454,0.5,4.34478739388031,0.0,643,1,2
15,0.293,0.495,0.5,4.367894075728511,0.0,643,1,2
15,0.293,0.535,0.5,4.383590048375591,0.0,643,1,2
15,0.293,0.576,0.5,4.417401469871849,0.0,643,1,2
15,0.293,0.616,0.5,4.403375569917768,0.0,643,1,2
15,0.293,0.656,0.5,4.402549739962331,0.0,643,1,2
15,0.293,0.697,0.5,4.415994021836983,0.0,643,1,2
15,0.293,0.737,0.5,4.4254904927547445,0.0,643,1,2
15,0.293,0.778,0.5,4.4076904191307005,0.0075783432104956,643,2,2
15,0.333,0.01,0.5,1.4982522034916266,0.0,643,1,2
15,0.333,0.05,0.5,2.565090456443694,0.0,643,1,2
15,0.333,0.091,0.5,3.2657545692823198,0.1872235595763907,643,2,2
15,0.333,0.131,0.5,3.689917774627045,0.0,643,1,2
15,0.333,0.172,0.5,4.04609228551077,0.0,643,1,2
