N,J,Jz,magnetization,gap_ratio_mean,gap_ratio_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
15,0.01,0.01,0.5,0.388441185809225,0.0,643,1,2
15,0.01,0.05,0.5,0.3763021804224473,0.0,643,1,2
15,0.01,0.091,0.5,0.3725271588884182,0.0,643,1,2
15,0.01,0.131,0.5,0.3938588589843232,0.0,643,1,2
15,0.01,0.172,0.5,0.3961813625129214,0.0,643,1,2
15,0.01,0.212,0.5,0.389815112111903,0.0,643,1,2
15,0.01,0.252,0.5,0.3925315209850531,0.0,643,1,2
15,0.01,0.293,0.5,0.3743194249028285,0.0,643,1,2
15,0.01,0.333,0.5,0.3922032873729097,0.0,643,1,2
15,0.01,0.374,0.5,0.3876507631667084,0.0,643,1,2
15,0.01,0.414,0.5,0.3784039973641193,0.0,643,1,2
15,0.01,0.454,0.5,0.3785162697554226,0.0,643,1,2
15,0.01,0.495,0.5,0.3769651235973266,0.0,643,1,2
15,0.01,0.535,0.5,0.3834386389748045,0.0080133739074998,643,2,2
15,0.01,0.576,0.5,0.3952789901315962,0.0,643,1,2
15,0.01,0.616,0.5,0.3819553818835285,0.0,643,1,2
15,0.01,0.656,0.5,0.3869272491732273,0.0,643,1,2
15,0.01,0.697,0.5,0.382842231430611,0.0,643,1,2
15,0.01,0.737,0.5,0.3841205974218101,0.0,643,1,2
15,0.01,0.778,0.5,0.386448596557914,0.0,643,1,2
15,0.05,0.01,0.5,0.4038390622571808,0.0,643,1,2
15,0.05,0.05,0.5,0.3961902544663829,0.0,643,1,2
15,0.05,0.091,0.5,0.3810673647400477,0.0,643,1,2
15,0.05,0.131,0.5,0.3892130731890749,0.0,643,1,2
15,0.05,0.172,0.5,0.3916887446428526,0.0,643,1,2
15,0.05,0.212,0.5,0.3819425659662193,0.0,643,1,2
15,0.05,0.252,0.5,0.3877617651857841,0.0,643,1,2
15,0.05,0.293,0.5,0.3851115159393393,0.0023171765609234,643,2,2
15,0.05,0.333,0.5,0.3983776365058401,0.0,643,1,2
15,0.05,0.374,0.5,0.3758313644309531,0.0,643,1,2
15,0.05,0.414,0.5,0.3986391537542967,0.0,643,1,2
15,0.05,0.454,0.5,0.3785818162532142,0.0,643,1,2
15,0.05,0.495,0.5,0.3775650904931762,0.0,643,1,2
15,0.05,0.535,0.5,0.3759950646906012,0.0,643,1,2
15,0.05,0.576,0.5,0.3974764027485976,0.0,643,1,2
15,0.05,0.616,0.5,0.3849679673198662,0.0,643,1,2
15,0.05,0.656,0.5,0.3836392272613516,0.0,643,1,2
