N,J,Jz,magnetization,gap_ratio_mean,gap_ratio_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
16,0.001,0.785,0.0,0.3841768372722589,0.0195527919753753,750,38,0
16,0.025,0.785,0.0,0.3871590512523435,0.0163152621596041,750,19,0
16,0.05,0.785,0.0,0.3901409332915403,0.0154936397736688,750,18,0
16,0.074,0.785,0.0,0.3887651539937764,0.0175839683128718,750,18,0
16,0.099,0.785,0.0,0.401810303610272,0.0183003571117213,750,36,0
16,0.123,0.785,0.0,0.432135613291722,0.022350781391832,750,19,0
16,0.148,0.785,0.0,0.503719674551473,0.0341171457802687,750,19,0
16,0.172,0.785,0.0,0.5573126129749671,0.0222177376696337,750,20,0
16,0.197,0.785,0.0,0.5900539907225321,0.0158529946774543,750,39,0
16,0.221,0.785,0.0,0.5942474079791342,0.0210863731896273,750,20,0
16,0.246,0.785,0.0,0.589699232013408,0.0185607947133236,750,20,0
16,0.27,0.785,0.0,0.5948435302576057,0.0136385534506323,750,20,0
16,0.294,0.785,0.0,0.6009842282811416,0.014263800726962,750,39,0
16,0.319,0.785,0.0,0.5997560017386611,0.0152052036254879,750,20,0
16,0.343,0.785,0.0,0.607463198305551,0.0130406795380951,750,19,0
16,0.368,0.785,0.0,0.5993216365790746,0.0160520212390724,750,19,0
16,0.392,0.785,0.0,0.597998010359135,0.016512070654254,750,38,0
16,0.418,0.785,0.0,0.595820954649347,0.0140077205178504,750,20,0
16,0.442,0.785,0.0,0.5963457257327518,0.0135998961189749,750,20,0
16,0.466,0.785,0.0,0.5952960418892367,0.0167410979950309,750,20,0
16,0.491,0.785,0.0,0.6009473056125352,0.0133045281654193,750,20,0
16,0.515,0.785,0.0,0.5983807066805574,0.0187324442652561,750,20,0
16,0.54,0.785,0.0,0.5951129117688353,0.0177465798528967,750,20,0
16,0.564,0.785,0.0,0.6047038245012184,0.0131113302408512,750,20,0
16,0.589,0.785,0.0,0.6014735144083241,0.0116188636442106,750,20,0
16,0.613,0.785,0.0,0.6014526817870015,0.0146407551924151,750,20,0
16,0.638,0.785,0.0,0.5924418760444068,0.0158217392551359,750,20,0
16,0.662,0.785,0.0,0.5963715280653666,0.0173465845677915,750,20,0
16,0.687,0.785,0.0,0.5808426172156227,0.0702970729419066,750,20,0
16,0.711,0.785,0.0,0.5826802225312965,0.0613278052247604,750,20,0
16,0.735,0.785,0.0,0.533116501326995,0.07897199708844,750,19,0
16,0.76,0.785,0.0,0.4233004361880339,0.0426211579822723,750,19,0
16,0.784,0.785,0.0,0.479822878072546,0.0951970965755685,750,18,0
15,0.001,0.785,0.5,0.3949312438722889,0.0180912431929451,643,8,0
15,0.025,0.785,0.5,0.3867860062272588,0.0149097562544796,643,10,0
15,0.05,0.785,0.5,0.392986506991447,0.0148831958764676,643,11,0
15,0.074,0.785,0.5,0.3852161940080077,0.0096418352379226,643,12,0
15,0.099,0.785,0.5,0.397429675779752,0.0101698591331999,643,13,0
15,0.123,0.785,0.5,0.4353242012558004,0.0294485636770125,643,14,0
15,0.148,0.785,0.5,0.4801782478540976,0.0150065255490197,643,14,0
15,0.172,0.785,0.5,0.5265507307821174,0.0520387651160645,643,13,0
15,0.197,0.785,0.5,0.5791764021778476,0.023866916583683,643,15,0
15,0.221,0.785,0.5,0.5893179941868004,0.0218086179824038,643,15,0
15,0.246,0.785,0.5,0.5784048367392147,0.0540530647544349,643,14,0
15,0.27,0.785,0.5,0.5882139910196121,0.0503539538115202,643,15,0
15,0.294,0.785,0.5,0.5894429179941644,0.0324525979890465,643,15,0
15,0.319,0.785,0.5,0.5794159259778947,0.0670204627899745,643,15,0
15,0.343,0.785,0.5,0.6021075873637064,0.0094699828753598,643,14,0
15,0.368,0.785,0.5,0.6033409388237267,0.0137005056077508,643,14,0
15,0.392,0.785,0.5,0.6003188473563549,0.0121215849056914,643,14,0
15,0.418,0.785,0.5,0.5989930299949818,0.0084201099985927,643,13,0
15,0.442,0.785,0.5,0.5976423010895696,0.0147867411074611,643,15,0
15,0.466,0.785,0.5,0.5989221905793136,0.0096456333515799,643,15,0
15,0.491,0.785,0.5,0.5981628255103277,0.0125432719837898,643,15,0
15,0.515,0.785,0.5,0.5906642645360797,0.0451418214666548,643,14,0
15,0.54,0.785,0.5,0.5758843904776291,0.0614072841578978,643,14,0
15,0.564,0.785,0.5,0.6084866859404867,0.0120126909346579,643,14,0
15,0.589,0.785,0.5,0.5986400895893824,0.0080894693256591,643,13,0
15,0.613,0.785,0.5,0.5764363058184436,0.0585107197667435,643,15,0
15,0.638,0.785,0.5,0.5957792345586425,0.0057439883007657,643,13,0
15,0.662,0.785,0.5,0.6027244380603357,0.0133313271754979,643,14,0
15,0.687,0.785,0.5,0.5866841939701171,0.0483109625311499,643,13,0
15,0.711,0.785,0.5,0.5948171767180395,0.0214204322832881,643,13,0
15,0.735,0.785,0.5,0.5176475343137396,0.0738940941377159,643,12,0
15,0.76,0.785,0.5,0.4183849167252446,0.0335178927898741,643,11,0
15,0.784,0.785,0.5,0.3925954829194801,0.0115509832149173,643,11,0
14,0.001,0.785,0.0,0.3807559178196097,0.0270734285436613,343,25,0
14,0.025,0.785,0.0,0.3850938590901087,0.0182785563785895,343,25,0
14,0.05,0.785,0.0,0.3863957087635861,0.0192437833312929,343,25,0
14,0.074,0.785,0.0,0.3825088990076104,0.013981521996005,343,25,0
14,0.099,0.785,0.0,0.3982538162111415,0.0171904136682642,343,24,0
14,0.123,0.785,0.0,0.4221315832583512,0.0185681297712781,343,25,0
14,0.148,0.785,0.0,0.4708350887119993,0.0193393279537876,343,25,0
14,0.172,0.785,0.0,0.5291653014758836,0.0241818740216982,343,25,0
14,0.197,0.785,0.0,0.5673459345371811,0.0217132209295645,343,25,0
14,0.221,0.785,0.0,0.5856850076224169,0.0250404321105343,343,25,0
14,0.246,0.785,0.0,0.5906955849377372,0.0284134096916641,343,25,0
14,0.27,0.785,0.0,0.5971517121224298,0.0205235091855504,343,25,0
14,0.294,0.785,0.0,0.5957977545891306,0.0231397955432442,343,25,0
14,0.319,0.785,0.0,0.601487869205898,0.0125399720804918,343,25,0
14,0.343,0.785,0.0,0.5964327743178437,0.0197762089619979,343,25,0
14,0.368,0.785,0.0,0.5972968931660795,0.0149177073322403,343,25,0
14,0.392,0.785,0.0,0.5982799479133591,0.0176051712703253,343,25,0
14,0.418,0.785,0.0,0.600488123207557,0.0170058116990564,343,25,0
14,0.442,0.785,0.0,0.597064627867207,0.0210643831972772,343,25,0
14,0.466,0.785,0.0,0.6024240367831446,0.0148312603552784,343,25,0
14,0.491,0.785,0.0,0.6016464572072127,0.021183637457857,343,25,0
14,0.515,0.785,0.0,0.6034015124600497,0.0162993765616713,343,25,0
14,0.54,0.785,0.0,0.591279702048731,0.0156244319101987,343,25,0
14,0.564,0.785,0.0,0.5965339505099838,0.0191368511462885,343,25,0
14,0.589,0.785,0.0,0.5996324352954419,0.0153245150612434,343,25,0
14,0.613,0.785,0.0,0.5996514989159597,0.0225494819443836,343,25,0
14,0.638,0.785,0.0,0.5969750608067437,0.0179018593145387,343,25,0
14,0.662,0.785,0.0,0.5966777116860774,0.0157606190114382,343,25,0
14,0.687,0.785,0.0,0.5795988052599096,0.0463527846126488,343,25,0
14,0.711,0.785,0.0,0.579206845680629,0.0259799024051965,343,25,0
14,0.735,0.785,0.0,0.5335866037649248,0.0643037408158294,343,25,0
14,0.76,0.785,0.0,0.4488964322001132,0.0570966735225618,343,25,0
14,0.784,0.785,0.0,0.46900954085337,0.0893264506595588,343,25,0
13,0.001,0.785,0.5,0.3810038092018801,0.0301040552032154,171,25,0
13,0.025,0.785,0.5,0.3845376944756456,0.0232815133581927,171,25,0
13,0.05,0.785,0.5,0.3894327210229037,0.0316060976480233,171,25,0
13,0.074,0.785,0.5,0.3911776414527355,0.0224878118038023,171,25,0
13,0.099,0.785,0.5,0.4031163354854625,0.0313460874892954,171,25,0
13,0.123,0.785,0.5,0.4174747819016204,0.0312258187988963,171,25,0
13,0.148,0.785,0.5,0.468220331903731,0.0261102293229808,171,25,0
13,0.172,0.785,0.5,0.5118771239126618,0.0292978442062352,171,25,0
13,0.197,0.785,0.5,0.5545380212100396,0.0205910884202728,171,25,0
13,0.221,0.785,0.5,0.5824509657740758,0.0187276872759747,171,25,0
13,0.246,0.785,0.5,0.5951629798913275,0.0202155219366145,171,25,0
13,0.27,0.785,0.5,0.5976410366200082,0.0190535783917049,171,25,0
13,0.294,0.785,0.5,0.6030176168817615,0.014847037026579,171,25,0
13,0.319,0.785,0.5,0.6043893636408343,0.026703178039372,171,25,0
13,0.343,0.785,0.5,0.6021253538645959,0.0206825074704036,171,25,0
13,0.368,0.785,0.5,0.598114961866467,0.0201209264230456,171,25,0
13,0.392,0.785,0.5,0.5992753710678961,0.0245038483621092,171,25,0
13,0.418,0.785,0.5,0.6027371651188839,0.018941782118706,171,25,0
13,0.442,0.785,0.5,0.6023506607046181,0.020194482628291,171,25,0
13,0.466,0.785,0.5,0.6005586365291146,0.0207574777233355,171,25,0
13,0.491,0.785,0.5,0.600393361753854,0.0212520175156313,171,25,0
13,0.515,0.785,0.5,0.5999722587489604,0.0154649021717257,171,25,0
13,0.54,0.785,0.5,0.5988532992691739,0.0162436517829351,171,25,0
13,0.564,0.785,0.5,0.6082211731022571,0.0158206313598741,171,25,0
13,0.589,0.785,0.5,0.6049523525044723,0.0203191091150422,171,25,0
13,0.613,0.785,0.5,0.6082330225215442,0.0217185007280702,171,25,0
13,0.638,0.785,0.5,0.5945261414701726,0.0208121660310175,171,25,0
13,0.662,0.785,0.5,0.5920965871036719,0.0186430179186568,171,25,0
13,0.687,0.785,0.5,0.5875611647292677,0.0280368902258028,171,25,0
13,0.711,0.785,0.5,0.5449596069907578,0.0295732479059079,171,25,0
13,0.735,0.785,0.5,0.4725720693071531,0.0392971611344716,171,25,0
13,0.76,0.785,0.5,0.374605586615958,0.035688820141352,171,25,0
13,0.784,0.785,0.5,0.2667948608776774,0.0794559272916694,171,25,0
12,0.001,0.785,0.0,0.3777146373437207,0.05957812360954511,92,25,0
12,0.025,0.785,0.0,0.385900751379502,0.054048620364182176,92,25,0
12,0.05,0.785,0.0,0.41357703824196773,0.05328342747123176,92,25,0
12,0.074,0.785,0.0,0.4009853014076773,0.04190306544403601,92,25,0
12,0.099,0.785,0.0,0.4077965484574101,0.05881310552985131,92,25,0
12,0.123,0.785,0.0,0.42014932242495207,0.03989743540580517,92,25,0
12,0.148,0.785,0.0,0.4409761778405323,0.0482222717623148,92,25,0
12,0.172,0.785,0.0,0.4692639322869947,0.044837414724065286,92,25,0
12,0.197,0.785,0.0,0.5368652203173778,0.03563046058160014,92,25,0
12,0.221,0.785,0.0,0.5680075717639942,0.043697672729540456,92,25,0
12,0.246,0.785,0.0,0.5720935701950749,0.039792842909158486,92,25,0
12,0.27,0.785,0.0,0.6003762930163467,0.054648142456465584,92,25,0
12,0.294,0.785,0.0,0.5884610745263487,0.03698493900475737,92,25,0
12,0.319,0.785,0.0,0.5830559654598068,0.03416735383756491,92,25,0
12,0.343,0.785,0.0,0.583940964389733,0.042142484584513175,92,25,0
12,0.368,0.785,0.0,0.5859106729467598,0.0444616033105134,92,25,0
12,0.392,0.785,0.0,0.5736940976805845,0.048286956335296095,92,25,0
12,0.418,0.785,0.0,0.6074661270163717,0.036896345703194604,92,25,0
12,0.442,0.785,0.0,0.6067154872876788,0.0501755317716787,92,25,0
12,0.466,0.785,0.0,0.5947168258462113,0.04184690333423216,92,25,0
12,0.491,0.785,0.0,0.5880970160752278,0.04441621099700461,92,25,0
12,0.515,0.785,0.0,0.5976549971897169,0.03642094832816059,92,25,0
12,0.54,0.785,0.0,0.5932957921210993,0.03496765931846067,92,25,0
12,0.564,0.785,0.0,0.5957680674070533,0.04138630299126298,92,25,0
12,0.589,0.785,0.0,0.5957571926652783,0.033373154728947266,92,25,0
12,0.613,0.785,0.0,0.6011188162836332,0.04384786013776189,92,25,0
12,0.638,0.785,0.0,0.5902832848456774,0.04426275563890397,92,25,0
12,0.662,0.785,0.0,0.5864644742348485,0.04942195242482649,92,25,0
12,0.687,0.785,0.0,0.5671781051723847,0.038675567183390755,92,25,0
12,0.711,0.785,0.0,0.5526757734523766,0.0498028065382612,92,25,0
12,0.735,0.785,0.0,0.4520789683439841,0.0693275319210309,92,25,0
12,0.76,0.785,0.0,0.4628784710766202,0.10730837569878235,92,25,0
12,0.784,0.785,0.0,0.42212553477953985,0.15158380751895423,92,25,0
